"","factions","short_name","fathername","number","region_name","totally","accepted","partly_accepted","rejected","redakciyno_accepted","others","no_conclusion"
"35","Батьківщина","Сергій Власенко","Володимирович","2823","",1,0,0,1,0,0,0
"36","Батьківщина","Сергій Власенко","Володимирович","3354","",10,4,1,5,0,0,0
"37","Батьківщина","Сергій Власенко","Володимирович","3383","",7,0,0,7,0,0,0
"38","Батьківщина","Михайло Волинець","Якович","1056-1","",1,0,1,0,0,0,0
"39","Батьківщина","Михайло Волинець","Якович","1233","",5,0,3,2,0,0,0
"40","Батьківщина","Михайло Волинець","Якович","2178-10","",6,0,0,6,0,0,0
"41","Батьківщина","Михайло Волинець","Якович","2233","",1,0,0,1,0,0,0
"42","Батьківщина","Михайло Волинець","Якович","2260","",5,0,0,4,1,0,0
"43","Батьківщина","Михайло Волинець","Якович","2490-1","",11,0,0,11,0,0,0
"44","Батьківщина","Віталій Данілов","Богданович","1009","",2,0,0,2,0,0,0
"45","Батьківщина","Валерій Дубіль","Олександрович","1055-1","",2,0,1,1,0,0,0
"46","Батьківщина","Валерій Дубіль","Олександрович","1227","",1,0,1,0,0,0,0
"47","Батьківщина","Валерій Дубіль","Олександрович","2178-10","",41,0,0,41,0,0,0
"48","Батьківщина","Валерій Дубіль","Олександрович","2429","",4,0,0,4,0,0,0
"49","Батьківщина","Валерій Дубіль","Олександрович","2457","",9,7,1,0,1,0,0
"50","Батьківщина","Валерій Дубіль","Олександрович","2538","",44,32,3,5,4,0,0
"51","Батьківщина","Валерій Дубіль","Олександрович","2539","",10,6,4,0,0,0,0
"52","Батьківщина","Вадим Івченко","Євгенович","0856","",11,3,1,6,1,0,0
"53","Батьківщина","Вадим Івченко","Євгенович","0901","",44,11,2,21,10,0,0
"54","Батьківщина","Вадим Івченко","Євгенович","1035-2","",3,0,3,0,0,0,0
"55","Батьківщина","Вадим Івченко","Євгенович","1039-2","",4,0,3,1,0,0,0
"56","Батьківщина","Вадим Івченко","Євгенович","1050","",3,0,0,2,1,0,0
"57","Батьківщина","Вадим Івченко","Євгенович","1054-1","",3,0,0,3,0,0,0
"58","Батьківщина","Вадим Івченко","Євгенович","1056-1","",8,0,0,8,0,0,0
"59","Батьківщина","Вадим Івченко","Євгенович","1059","",12,0,0,12,0,0,0
"60","Батьківщина","Вадим Івченко","Євгенович","1060","",5,1,0,4,0,0,0
"61","Батьківщина","Вадим Івченко","Євгенович","1061","",10,1,0,9,0,0,0
"62","Батьківщина","Вадим Івченко","Євгенович","1062","",1,0,0,1,0,0,0
"63","Батьківщина","Вадим Івченко","Євгенович","1065","",23,21,0,1,1,0,0
"64","Батьківщина","Вадим Івченко","Євгенович","1066","",31,0,1,28,2,0,0
"65","Батьківщина","Вадим Івченко","Євгенович","1081","",7,1,2,2,2,0,0
"66","Батьківщина","Вадим Івченко","Євгенович","1197","",4,0,0,4,0,0,0
"67","Батьківщина","Вадим Івченко","Євгенович","1198","",2,0,1,1,0,0,0
"68","Батьківщина","Вадим Івченко","Євгенович","1210","",1,1,0,0,0,0,0
"69","Батьківщина","Вадим Івченко","Євгенович","1220","",5,2,0,2,1,0,0
"70","Батьківщина","Вадим Івченко","Євгенович","1233","",7,1,2,4,0,0,0
"71","Батьківщина","Вадим Івченко","Євгенович","2042","",6,1,0,4,1,0,0
"72","Батьківщина","Вадим Івченко","Євгенович","2116","",4,1,0,3,0,0,0
"73","Батьківщина","Вадим Івченко","Євгенович","2143-3","",19,10,2,7,0,0,0
"74","Батьківщина","Вадим Івченко","Євгенович","2148","",6,1,0,5,0,0,0
"75","Батьківщина","Вадим Івченко","Євгенович","2168","",1,0,0,1,0,0,0
"76","Батьківщина","Вадим Івченко","Євгенович","2172","",47,14,5,28,0,0,0
"77","Батьківщина","Вадим Івченко","Євгенович","2178-10","",58,0,0,58,0,0,0
"78","Батьківщина","Вадим Івченко","Євгенович","2187","",4,1,1,2,0,0,0
"79","Батьківщина","Вадим Івченко","Євгенович","2239-1","",7,3,0,4,0,0,0
"80","Батьківщина","Вадим Івченко","Євгенович","2259","",22,6,5,9,2,0,0
"81","Батьківщина","Вадим Івченко","Євгенович","2260","",10,0,1,9,0,0,0
"82","Батьківщина","Вадим Івченко","Євгенович","2275","",8,0,0,8,0,0,0
"83","Батьківщина","Вадим Івченко","Євгенович","2280","",31,11,0,17,3,0,0
"84","Батьківщина","Вадим Івченко","Євгенович","2285-д","",60,12,9,39,0,0,0
"85","Батьківщина","Вадим Івченко","Євгенович","2300","",8,1,1,6,0,0,0
"86","Батьківщина","Вадим Івченко","Євгенович","2351","",5,3,2,0,0,0,0
"87","Батьківщина","Вадим Івченко","Євгенович","2370","",15,6,1,5,3,0,0
"88","Батьківщина","Вадим Івченко","Євгенович","2379","",8,0,0,8,0,0,0
"89","Батьківщина","Вадим Івченко","Євгенович","2494","",34,10,1,22,1,0,0
"90","Батьківщина","Вадим Івченко","Євгенович","2653","",5,2,0,3,0,0,0
"91","Батьківщина","Вадим Івченко","Євгенович","3354","",8,1,1,5,1,0,0
"92","Батьківщина","Вадим Івченко","Євгенович","3398","",1,0,0,0,1,0,0
"93","Батьківщина","Вадим Івченко","Євгенович","3438","",1,0,1,0,0,0,0
"94","Батьківщина","Володимир Кабаченко","Вікторович","1010","",8,1,0,6,1,0,0
"95","Батьківщина","Володимир Кабаченко","Вікторович","1025","",11,11,0,0,0,0,0
"96","Батьківщина","Володимир Кабаченко","Вікторович","1029","",1,0,0,0,0,0,1
"97","Батьківщина","Володимир Кабаченко","Вікторович","1031","",5,3,0,1,1,0,0
"98","Батьківщина","Володимир Кабаченко","Вікторович","1067-д","",2,0,0,2,0,0,0
"99","Батьківщина","Володимир Кабаченко","Вікторович","1210","",6,4,0,1,1,0,0
"100","Батьківщина","Володимир Кабаченко","Вікторович","2178-10","",29,0,0,29,0,0,0
"101","Батьківщина","Володимир Кабаченко","Вікторович","2179","",80,60,8,11,1,0,0
"102","Батьківщина","Володимир Кабаченко","Вікторович","2571-д","",1,1,0,0,0,0,0
"103","Батьківщина","Володимир Кабаченко","Вікторович","3348","",5,0,0,5,0,0,0
"104","Батьківщина","Володимир Кабаченко","Вікторович","3438","",1,0,1,0,0,0,0
"105","Батьківщина","Іван Кириленко","Григорович","0897","",45,29,0,2,14,0,0
"106","Батьківщина","Іван Кириленко","Григорович","0898","",60,36,3,4,17,0,0
"107","Батьківщина","Іван Кириленко","Григорович","0901","",107,38,8,28,33,0,0
"108","Батьківщина","Іван Кириленко","Григорович","1059","",2,0,0,2,0,0,0
"109","Батьківщина","Іван Кириленко","Григорович","2178-10","",10,0,0,10,0,0,0
"110","Батьківщина","Іван Кириленко","Григорович","2299","",28,3,1,22,2,0,0
"111","Батьківщина","Андрій Кожем'якін","Анатолійович","0976","",17,17,0,0,0,0,0
"112","Батьківщина","Андрій Кожем'якін","Анатолійович","1032","",16,0,0,16,0,0,0
"113","Батьківщина","Андрій Кожем'якін","Анатолійович","1152-1","",3,2,0,1,0,0,0
"114","Батьківщина","Андрій Кожем'якін","Анатолійович","1208-2","",13,6,1,6,0,0,0
"115","Батьківщина","Андрій Кожем'якін","Анатолійович","2077","",6,6,0,0,0,0,0
"116","Батьківщина","Андрій Кожем'якін","Анатолійович","2116","",23,6,2,15,0,0,0
"117","Батьківщина","Андрій Кожем'якін","Анатолійович","2148","",6,1,2,3,0,0,0
"118","Батьківщина","Андрій Кожем'якін","Анатолійович","2237","",3,1,0,1,1,0,0
"119","Батьківщина","Андрій Кожем'якін","Анатолійович","2240","",11,3,6,2,0,0,0
"120","Батьківщина","Андрій Кожем'якін","Анатолійович","3314","",12,11,1,0,0,0,0
"121","Батьківщина","Іван Крулько","Іванович","1008","",51,2,0,49,0,0,0
"122","Батьківщина","Іван Крулько","Іванович","1029","",2,0,1,1,0,0,0
"123","Батьківщина","Іван Крулько","Іванович","1043","",7,2,0,5,0,0,0
"124","Батьківщина","Іван Крулько","Іванович","1064","",2,0,0,2,0,0,0
"125","Батьківщина","Іван Крулько","Іванович","1152-1","",2,0,0,2,0,0,0
"126","Батьківщина","Іван Крулько","Іванович","1220","",4,0,0,2,2,0,0
"127","Батьківщина","Іван Крулько","Іванович","2143-3","",28,5,7,14,2,0,0
"128","Батьківщина","Іван Крулько","Іванович","2144","",12,1,3,8,0,0,0
"129","Батьківщина","Іван Крулько","Іванович","2178-10","",34,0,0,34,0,0,0
"130","Батьківщина","Іван Крулько","Іванович","2283","",6,6,0,0,0,0,0
"131","Батьківщина","Іван Крулько","Іванович","2285-д","",119,32,14,73,0,0,0
"132","Батьківщина","Іван Крулько","Іванович","2456","",2,1,1,0,0,0,0
"133","Батьківщина","Олексій Кучеренко","Юрійович","2178-10","",3,0,0,3,0,0,0
"134","Батьківщина","Олексій Кучеренко","Юрійович","2233","",4,0,0,4,0,0,0
"135","Батьківщина","Олексій Кучеренко","Юрійович","2239-1","",67,3,1,62,1,0,0
"136","Батьківщина","Олексій Кучеренко","Юрійович","2490-1","",21,0,0,21,0,0,0
"137","Батьківщина","Анжеліка Лабунська","Вікторівна","0869","",10,6,0,1,3,0,0
"138","Батьківщина","Анжеліка Лабунська","Вікторівна","0870","",8,6,0,1,1,0,0
"139","Батьківщина","Анжеліка Лабунська","Вікторівна","0874","",37,31,4,2,0,0,0
"140","Батьківщина","Анжеліка Лабунська","Вікторівна","1053-1","",70,0,0,70,0,0,0
"141","Батьківщина","Анжеліка Лабунська","Вікторівна","1073","",18,0,0,18,0,0,0
"142","Батьківщина","Анжеліка Лабунська","Вікторівна","2144","",9,0,3,6,0,0,0
"143","Батьківщина","Анжеліка Лабунська","Вікторівна","2179","",55,4,1,50,0,0,0
"144","Батьківщина","Анжеліка Лабунська","Вікторівна","2189","",3,0,0,3,0,0,0
"145","Батьківщина","Анжеліка Лабунська","Вікторівна","2240","",16,4,3,8,1,0,0
"146","Батьківщина","Анжеліка Лабунська","Вікторівна","2351","",5,3,2,0,0,0,0
"147","Батьківщина","Анжеліка Лабунська","Вікторівна","2379","",3,0,0,3,0,0,0
"148","Батьківщина","Анжеліка Лабунська","Вікторівна","3438","",1,0,0,1,0,0,0
"149","Батьківщина","Олег Мейдич","Леонідович","0858","Вінницька область",68,54,5,4,5,0,0
"150","Батьківщина","Олег Мейдич","Леонідович","1031","Вінницька область",2,1,0,1,0,0,0
"151","Батьківщина","Олег Мейдич","Леонідович","1068","Вінницька область",8,0,0,8,0,0,0
"152","Батьківщина","Олег Мейдич","Леонідович","1210","Вінницька область",1,1,0,0,0,0,0
"153","Батьківщина","Олег Мейдич","Леонідович","2178-10","Вінницька область",28,0,0,28,0,0,0
"154","Батьківщина","Валентин Наливайченко","Олександрович","1011","",2,1,0,1,0,0,0
"155","Батьківщина","Валентин Наливайченко","Олександрович","1032","",2,0,0,2,0,0,0
"156","Батьківщина","Валентин Наливайченко","Олександрович","1225","",4,0,3,0,1,0,0
"157","Батьківщина","Валентин Наливайченко","Олександрович","1227","",2,0,0,2,0,0,0
"158","Батьківщина","Валентин Наливайченко","Олександрович","2178-10","",27,0,0,27,0,0,0
"159","Батьківщина","Валентин Наливайченко","Олександрович","2247","",3,0,1,1,1,0,0
"160","Батьківщина","Валентин Наливайченко","Олександрович","2343","",4,2,1,0,1,0,0
"161","Батьківщина","Валентин Наливайченко","Олександрович","2398-д","",96,16,26,45,9,0,0
"162","Батьківщина","Валентин Наливайченко","Олександрович","2412-д","",26,6,2,12,6,0,0
"163","Батьківщина","Валентин Наливайченко","Олександрович","2414-д","",5,0,0,5,0,0,0
"164","Батьківщина","Григорій Немиря","Михайлович","2179","",55,4,1,50,0,0,0
"165","Батьківщина","Андрій Ніколаєнко","Іванович","1053-1","",32,0,0,32,0,0,0
"166","Батьківщина","Андрій Ніколаєнко","Іванович","1065","",23,21,0,1,1,0,0
"167","Батьківщина","Андрій Ніколаєнко","Іванович","1073","",14,0,0,14,0,0,0
"168","Батьківщина","Андрій Ніколаєнко","Іванович","1109","",3,0,2,1,0,0,0
"169","Батьківщина","Андрій Ніколаєнко","Іванович","1208-2","",39,23,5,11,0,0,0
"170","Батьківщина","Андрій Ніколаєнко","Іванович","1210","",49,19,3,27,0,0,0
"171","Батьківщина","Андрій Ніколаєнко","Іванович","1230","",1,0,1,0,0,0,0
"172","Батьківщина","Андрій Ніколаєнко","Іванович","2102","",2,0,0,2,0,0,0
"173","Батьківщина","Андрій Ніколаєнко","Іванович","2166","",2,1,1,0,0,0,0
"174","Батьківщина","Андрій Ніколаєнко","Іванович","2178-10","",6,0,0,6,0,0,0
"175","Батьківщина","Андрій Ніколаєнко","Іванович","2179","",30,11,7,10,1,0,0
"176","Батьківщина","Андрій Ніколаєнко","Іванович","2241","",1,1,0,0,0,0,0
"177","Батьківщина","Андрій Ніколаєнко","Іванович","2285-д","",19,4,9,6,0,0,0
"178","Батьківщина","Андрій Ніколаєнко","Іванович","2288","",1,0,0,0,1,0,0
"179","Батьківщина","Андрій Ніколаєнко","Іванович","2317","",4,0,0,4,0,0,0
"180","Батьківщина","Андрій Ніколаєнко","Іванович","2538","",3,2,0,0,1,0,0
"181","Батьківщина","Андрій Ніколаєнко","Іванович","2539","",2,2,0,0,0,0,0
"182","Батьківщина","Андрій Ніколаєнко","Іванович","3329-д","",11,5,0,6,0,0,0
"183","Батьківщина","Андрій Пузійчук","Вікторович","1036-1","",8,4,1,3,0,0,0
"184","Батьківщина","Андрій Пузійчук","Вікторович","1039-2","",4,1,3,0,0,0,0
"185","Батьківщина","Андрій Пузійчук","Вікторович","1042-1","",5,2,1,2,0,0,0
"186","Батьківщина","Андрій Пузійчук","Вікторович","1043","",7,2,0,5,0,0,0
"187","Батьківщина","Андрій Пузійчук","Вікторович","1044-1","",1,1,0,0,0,0,0
"188","Батьківщина","Андрій Пузійчук","Вікторович","1052","",14,4,0,7,3,0,0
"189","Батьківщина","Андрій Пузійчук","Вікторович","1066","",9,1,1,7,0,0,0
"190","Батьківщина","Андрій Пузійчук","Вікторович","1210","",3,2,0,0,1,0,0
"191","Батьківщина","Андрій Пузійчук","Вікторович","1230","",1,0,1,0,0,0,0
"192","Батьківщина","Андрій Пузійчук","Вікторович","2030","",8,7,1,0,0,0,0
"193","Батьківщина","Андрій Пузійчук","Вікторович","2042","",10,4,0,2,4,0,0
"194","Батьківщина","Андрій Пузійчук","Вікторович","2116","",11,8,0,3,0,0,0
"195","Батьківщина","Андрій Пузійчук","Вікторович","2143-3","",36,7,9,18,2,0,0
"196","Батьківщина","Андрій Пузійчук","Вікторович","2144","",5,2,2,1,0,0,0
"197","Батьківщина","Андрій Пузійчук","Вікторович","2148","",10,1,2,7,0,0,0
"198","Батьківщина","Андрій Пузійчук","Вікторович","2178-10","",48,0,0,48,0,0,0
"199","Батьківщина","Андрій Пузійчук","Вікторович","2179","",13,7,0,6,0,0,0
"200","Батьківщина","Андрій Пузійчук","Вікторович","2237","",6,1,1,4,0,0,0
"201","Батьківщина","Андрій Пузійчук","Вікторович","2260","",11,0,0,11,0,0,0
"202","Батьківщина","Андрій Пузійчук","Вікторович","2280","",31,3,4,14,10,0,0
"203","Батьківщина","Андрій Пузійчук","Вікторович","2285-д","",108,19,12,77,0,0,0
"204","Батьківщина","Андрій Пузійчук","Вікторович","2351","",16,6,0,10,0,0,0
"205","Батьківщина","Андрій Пузійчук","Вікторович","2370","",26,2,1,20,3,0,0
"206","Батьківщина","Андрій Пузійчук","Вікторович","2379","",6,1,0,3,2,0,0
"207","Батьківщина","Андрій Пузійчук","Вікторович","2426","",17,10,0,6,1,0,0
"208","Батьківщина","Андрій Пузійчук","Вікторович","2492","",48,1,1,45,1,0,0
"209","Батьківщина","Андрій Пузійчук","Вікторович","2571-д","",4,4,0,0,0,0,0
"210","Батьківщина","Андрій Пузійчук","Вікторович","2653","",4,0,3,1,0,0,0
"211","Батьківщина","Андрій Пузійчук","Вікторович","3608","",3,1,0,2,0,0,0
"212","Батьківщина","Андрій Пузійчук","Вікторович","3659-д","",3,0,0,3,0,0,0
"213","Батьківщина","Сергій Соболєв","Владиславович","1008","",7,0,0,7,0,0,0
"214","Батьківщина","Сергій Соболєв","Владиславович","1056-1","",7,1,0,6,0,0,0
"215","Батьківщина","Сергій Соболєв","Владиславович","2143-3","",28,5,7,14,2,0,0
"216","Батьківщина","Сергій Соболєв","Владиславович","2144","",10,0,1,9,0,0,0
"217","Батьківщина","Сергій Соболєв","Владиславович","2178-10","",11,0,0,11,0,0,0
"218","Батьківщина","Сергій Соболєв","Владиславович","2179","",55,4,1,50,0,0,0
"219","Батьківщина","Сергій Соболєв","Владиславович","2261","",6,6,0,0,0,0,0
"220","Батьківщина","Сергій Соболєв","Владиславович","2285-д","",120,13,3,104,0,0,0
"221","Батьківщина","Сергій Соболєв","Владиславович","2336","",1,0,0,1,0,0,0
"222","Батьківщина","Сергій Тарута","Олексійович","1046","",9,0,0,8,1,0,0
"223","Батьківщина","Сергій Тарута","Олексійович","1048","",3,1,0,2,0,0,0
"224","Батьківщина","Сергій Тарута","Олексійович","1055-1","",1,0,0,1,0,0,0
"225","Батьківщина","Сергій Тарута","Олексійович","1065","",23,21,0,1,1,0,0
"226","Батьківщина","Сергій Тарута","Олексійович","1067-д","",6,3,0,3,0,0,0
"227","Батьківщина","Сергій Тарута","Олексійович","1076","",19,0,0,19,0,0,0
"228","Батьківщина","Сергій Тарута","Олексійович","2030","",8,7,1,0,0,0,0
"229","Батьківщина","Сергій Тарута","Олексійович","2136","",3,3,0,0,0,0,0
"230","Батьківщина","Сергій Тарута","Олексійович","2172","",26,10,3,13,0,0,0
"231","Батьківщина","Сергій Тарута","Олексійович","2178-10","",20,0,0,20,0,0,0
"232","Батьківщина","Сергій Тарута","Олексійович","2255","",26,8,8,7,3,0,0
"233","Батьківщина","Сергій Тарута","Олексійович","2258","",31,16,2,12,1,0,0
"234","Батьківщина","Сергій Тарута","Олексійович","2259","",22,6,5,9,2,0,0
"235","Батьківщина","Сергій Тарута","Олексійович","2276","",1,0,0,1,0,0,0
"236","Батьківщина","Сергій Тарута","Олексійович","2300","",3,1,1,1,0,0,0
"237","Батьківщина","Сергій Тарута","Олексійович","2390","",1,1,0,0,0,0,0
"238","Батьківщина","Сергій Тарута","Олексійович","2398-д","",70,16,24,20,10,0,0
"239","Батьківщина","Сергій Тарута","Олексійович","2426","",14,10,0,4,0,0,0
"240","Батьківщина","Сергій Тарута","Олексійович","3132","",22,13,1,8,0,0,0
"241","Батьківщина","Сергій Тарута","Олексійович","3350","",1,1,0,0,0,0,0
"242","Батьківщина","Юлія Тимошенко","Володимирівна","1076","",19,0,0,19,0,0,0
"243","Батьківщина","Юлія Тимошенко","Володимирівна","2144","",9,0,3,6,0,0,0
"244","Батьківщина","Юлія Тимошенко","Володимирівна","2178-10","",37,0,0,37,0,0,0
"245","Батьківщина","Юлія Тимошенко","Володимирівна","2179","",55,4,1,50,0,0,0
"246","Батьківщина","Юлія Тимошенко","Володимирівна","2239-1","",67,3,1,62,1,0,0
"247","Батьківщина","Юлія Тимошенко","Володимирівна","2283","",2,0,0,2,0,0,0
"248","Батьківщина","Юлія Тимошенко","Володимирівна","2343","",1,0,0,1,0,0,0
"249","Батьківщина","Юлія Тимошенко","Володимирівна","2494","",34,2,5,27,0,0,0
"250","Батьківщина","Юлія Тимошенко","Володимирівна","2571-д","",6,1,0,5,0,0,0
"251","Батьківщина","Юлія Тимошенко","Володимирівна","3329-д","",10,5,0,5,0,0,0
"252","Батьківщина","Юлія Тимошенко","Володимирівна","3354","",10,4,1,5,0,0,0
"253","Батьківщина","Юлія Тимошенко","Володимирівна","3659-д","",3,0,0,3,0,0,0
"254","Батьківщина","Михайло Цимбалюк","Михайлович","0882","",3,2,1,0,0,0,0
"255","Батьківщина","Михайло Цимбалюк","Михайлович","0885","",1,0,0,1,0,0,0
"256","Батьківщина","Михайло Цимбалюк","Михайлович","0887","",4,0,0,4,0,0,0
"257","Батьківщина","Михайло Цимбалюк","Михайлович","0889","",1,0,0,1,0,0,0
"258","Батьківщина","Михайло Цимбалюк","Михайлович","0893","",1,0,0,1,0,0,0
"259","Батьківщина","Михайло Цимбалюк","Михайлович","0897","",2,0,0,2,0,0,0
"260","Батьківщина","Михайло Цимбалюк","Михайлович","0898","",4,0,0,4,0,0,0
"261","Батьківщина","Михайло Цимбалюк","Михайлович","0940","",4,0,0,4,0,0,0
"262","Батьківщина","Михайло Цимбалюк","Михайлович","1009","",18,0,0,18,0,0,0
"263","Батьківщина","Михайло Цимбалюк","Михайлович","1032","",7,0,0,7,0,0,0
"264","Батьківщина","Михайло Цимбалюк","Михайлович","1061","",4,0,0,4,0,0,0
"265","Батьківщина","Михайло Цимбалюк","Михайлович","1065","",23,21,0,1,1,0,0
"266","Батьківщина","Михайло Цимбалюк","Михайлович","1080","",1,0,0,1,0,0,0
"267","Батьківщина","Михайло Цимбалюк","Михайлович","1152-1","",1,0,0,1,0,0,0
"268","Батьківщина","Михайло Цимбалюк","Михайлович","1197","",2,1,1,0,0,0,0
"269","Батьківщина","Михайло Цимбалюк","Михайлович","1198","",2,2,0,0,0,0,0
"270","Батьківщина","Михайло Цимбалюк","Михайлович","1208-2","",5,2,0,3,0,0,0
"271","Батьківщина","Михайло Цимбалюк","Михайлович","1220","",4,1,0,2,1,0,0
"272","Батьківщина","Михайло Цимбалюк","Михайлович","1231","",5,0,1,4,0,0,0
"273","Батьківщина","Михайло Цимбалюк","Михайлович","2030","",8,7,1,0,0,0,0
"274","Батьківщина","Михайло Цимбалюк","Михайлович","2116","",8,1,1,6,0,0,0
"275","Батьківщина","Михайло Цимбалюк","Михайлович","2161","",1,0,0,1,0,0,0
"276","Батьківщина","Михайло Цимбалюк","Михайлович","2178-10","",17,0,0,17,0,0,0
"277","Батьківщина","Михайло Цимбалюк","Михайлович","2189","",5,0,0,5,0,0,0
"278","Батьківщина","Михайло Цимбалюк","Михайлович","2237","",2,0,0,2,0,0,0
"279","Батьківщина","Михайло Цимбалюк","Михайлович","2255","",6,0,1,5,0,0,0
"280","Батьківщина","Михайло Цимбалюк","Михайлович","2258","",10,0,1,9,0,0,0
"281","Батьківщина","Михайло Цимбалюк","Михайлович","2260","",29,5,4,15,5,0,0
"282","Батьківщина","Михайло Цимбалюк","Михайлович","2261","",3,0,3,0,0,0,0
"283","Батьківщина","Михайло Цимбалюк","Михайлович","2275","",7,2,0,5,0,0,0
"284","Батьківщина","Михайло Цимбалюк","Михайлович","2285-д","",12,2,5,5,0,0,0
"285","Батьківщина","Михайло Цимбалюк","Михайлович","2343","",1,0,0,1,0,0,0
"286","Батьківщина","Михайло Цимбалюк","Михайлович","2412-д","",8,0,0,6,2,0,0
"287","Батьківщина","Михайло Цимбалюк","Михайлович","2414-д","",1,0,0,1,0,0,0
"288","Батьківщина","Михайло Цимбалюк","Михайлович","2429","",6,0,0,6,0,0,0
"289","Батьківщина","Михайло Цимбалюк","Михайлович","2456","",1,0,1,0,0,0,0
"290","Батьківщина","Михайло Цимбалюк","Михайлович","2494","",34,2,5,27,0,0,0
"291","Батьківщина","Михайло Цимбалюк","Михайлович","2513","",6,0,0,6,0,0,0
"292","Батьківщина","Михайло Цимбалюк","Михайлович","2571-д","",2,2,0,0,0,0,0
"293","Батьківщина","Михайло Цимбалюк","Михайлович","2653","",3,1,0,2,0,0,0
"294","Батьківщина","Михайло Цимбалюк","Михайлович","3276","",4,0,1,3,0,0,0
"295","Батьківщина","Михайло Цимбалюк","Михайлович","3314","",15,8,3,4,0,0,0
"296","Батьківщина","Михайло Цимбалюк","Михайлович","3354","",2,0,0,2,0,0,0
"297","Батьківщина","Альона Шкрум","Іванівна","1066","",21,9,3,7,2,0,0
"298","Батьківщина","Альона Шкрум","Іванівна","1071","",12,9,0,1,2,0,0
"299","Батьківщина","Альона Шкрум","Іванівна","1210","",3,2,0,0,1,0,0
"300","Батьківщина","Альона Шкрум","Іванівна","2143-3","",65,14,10,40,1,0,0
"301","Батьківщина","Альона Шкрум","Іванівна","2148","",1,0,1,0,0,0,0
"302","Батьківщина","Альона Шкрум","Іванівна","2178-10","",25,0,0,25,0,0,0
"303","Батьківщина","Альона Шкрум","Іванівна","2179","",55,4,1,50,0,0,0
"304","Батьківщина","Альона Шкрум","Іванівна","2255","",85,9,33,43,0,0,0
"305","Батьківщина","Альона Шкрум","Іванівна","2259","",22,5,4,11,2,0,0
"306","Батьківщина","Альона Шкрум","Іванівна","2260","",21,6,2,6,7,0,0
"307","Батьківщина","Альона Шкрум","Іванівна","2285-д","",20,4,2,14,0,0,0
