"","factions","short_name","fathername","region_name","totally","accepted","partly_accepted","rejected","redakciyno_accepted","others","no_conclusion"
"151","Позафракційні","Олена Кондратюк","Костянтинівна","",32,14,2,14,0,0,2
"152","Позафракційні","Гео Лерос","Багратович","",6,6,0,0,0,0,0
"153","Позафракційні","Сергій Магера","Васильович","Донецька область",120,18,8,94,0,0,0
"154","Позафракційні","Муса Магомедов","Сергоєвич","Донецька область",87,28,6,53,0,0,0
"155","Позафракційні","Вадим Новинський","Владиславович","Донецька область",6,0,0,6,0,0,0
"156","Позафракційні","Оксана Савчук","Василівна","Івано-Франківська область",78,4,8,63,1,0,2
"157","Позафракційні","Руслан Стефанчук","Олексійович","",262,138,43,75,6,0,0
"158","Позафракційні","Руслан Требушкін","Валерійович","Донецька область",120,26,2,92,0,0,0
"159","Позафракційні","Дмитро Шенцев","Олексійович","Харківська область",14,0,1,13,0,0,0
"160","Позафракційні","Дмитро Шпенов","Юрійович","Дніпропетровська область",317,39,25,243,10,0,0
"161","Позафракційні","Олександр Юрченко","Миколайович","м. Київ",151,26,17,106,2,0,0
"162","Слуга Народу","Олександр Аліксійчук","Васильович","Рівненська область",97,4,11,80,2,0,0
"163","Слуга Народу","Ірина Аллахвердієва","Валеріївна","",87,6,4,75,2,0,0
"164","Слуга Народу","Михайло Ананченко","Олегович","",22,3,5,14,0,0,0
"165","Слуга Народу","Зіновій Андрійович","Мирославович","Івано-Франківська область",126,3,8,113,2,0,0
"166","Слуга Народу","Давид Арахамія","Георгійович","",29,27,0,1,1,0,0
"167","Слуга Народу","Юрій Арістов","Юрійович","",2,2,0,0,0,0,0
"168","Слуга Народу","Олег Арсенюк","Олексійович","Черкаська область",109,18,30,61,0,0,0
"169","Слуга Народу","Сергій Бабак","Віталійович","",284,165,20,41,58,0,0
"170","Слуга Народу","Роман Бабій","Вячеславович","",107,32,18,55,2,0,0
"171","Слуга Народу","Олександр Бакумов","Сергійович","Харківська область",249,137,14,92,6,0,0
"172","Слуга Народу","Марина Бардіна","Олегівна","",58,17,19,22,0,0,0
"173","Слуга Народу","Віталій Безгін","Юрійович","",135,26,16,90,3,0,0
"174","Слуга Народу","Мар'яна Безугла","Володимирівна","м. Київ",863,786,35,22,20,0,0
"175","Слуга Народу","Жан Беленюк","Венсанович","",29,9,1,19,0,0,0
"176","Слуга Народу","Максим Березін","Юрійович","Полтавська область",222,205,4,2,10,0,1
"177","Слуга Народу","Андрій Боблях","Ростиславович","Полтавська область",13,2,8,3,0,0,0
"178","Слуга Народу","Андрій Богданець","Володимирович","Тернопільська область",127,14,5,106,2,0,0
"179","Слуга Народу","Єлізавета Богуцька","Петрівна","",78,2,3,71,2,0,0
"180","Слуга Народу","Валерій Божик","Іванович","Чернівецька область",12,2,7,3,0,0,0
"181","Слуга Народу","Ганна Бондар","Вячеславівна","м. Київ",178,53,31,63,30,0,1
"182","Слуга Народу","Олег Бондаренко","Володимирович","",241,174,17,43,7,0,0
"183","Слуга Народу","Ірина Борзова","Наумівна","Вінницька область",24,23,0,1,0,0,0
"184","Слуга Народу","Владислав Бородін","Валерійович","Дніпропетровська область",92,90,0,2,0,0,0
"185","Слуга Народу","Євгеній Брагар","Вадимович","",11,3,0,8,0,0,0
"186","Слуга Народу","Максим Бужанський","Аркадійович","Дніпропетровська область",36,3,0,32,1,0,0
"187","Слуга Народу","Людмила Буймістер","Анатоліївна","м. Київ",69,13,4,49,3,0,0
"188","Слуга Народу","Лада Булах","Валентинівна","",4,2,2,0,0,0,0
"189","Слуга Народу","Сергій Бунін","Валерійович","Київська область",117,10,6,98,3,0,0
"190","Слуга Народу","Вікторія Вагнєр","Олександрівна","Херсонська область",2,2,0,0,0,0,0
"191","Слуга Народу","Ольга Василевська-Смаглюк","Михайлівна","Київська область",386,253,32,77,19,0,5
"192","Слуга Народу","Ігор Василів","Володимирович","Тернопільська область",2,0,1,1,0,0,0
"193","Слуга Народу","Ігор Васильєв","Сергійович","Сумська область",13,0,3,10,0,0,0
"194","Слуга Народу","Володимир Ватрас","Антонович","",7,6,0,1,0,0,0
"195","Слуга Народу","Федір Веніславський","Володимирович","",270,216,15,29,10,0,0
"196","Слуга Народу","Ірина Верещук","Андріївна","",103,47,11,31,14,0,0
"197","Слуга Народу","Олена Вінтоняк","Василівна","",77,2,2,71,2,0,0
"198","Слуга Народу","Дар'я Володіна","Артемівна","",109,48,16,41,0,0,4
"199","Слуга Народу","Володимир Воронов","Анатолійович","",138,87,10,6,35,0,0
"200","Слуга Народу","Олег Воронько","Євгенійович","Кіровоградська область",82,32,6,43,1,0,0
"201","Слуга Народу","Олександр Гайду","Васильович","Миколаївська область",48,5,4,38,1,0,0
"202","Слуга Народу","Вадим Галайчук","Сергійович","",86,28,7,47,4,0,0
"203","Слуга Народу","Микола Галушко","Леонідович","Київська область",22,11,8,3,0,0,0
"204","Слуга Народу","Володимир Гевко","Леонідович","Тернопільська область",15,3,8,4,0,0,0
"205","Слуга Народу","Ігор Герасименко","Леонідович","Житомирська область",42,40,0,0,2,0,0
"206","Слуга Народу","Денис Герман","Вадимович","Дніпропетровська область",3,2,0,1,0,0,0
"207","Слуга Народу","Андрій Герус","Михайлович","",58,25,2,25,6,0,0
"208","Слуга Народу","Данило Гетманцев","Олександрович","",749,557,62,113,7,0,10
"209","Слуга Народу","Руслан Горбенко","Олександрович","",5,3,0,2,0,0,0
"210","Слуга Народу","Олександр Горенюк","Олександрович","Одеська область",24,5,2,15,2,0,0
"211","Слуга Народу","Олександр Горобець","Сергійович","Київська область",85,32,6,45,2,0,0
"212","Слуга Народу","Сергій Гривко","Дмитрович","",37,3,5,29,0,0,0
"213","Слуга Народу","Оксана Гринчук","Анатоліївна","",11,1,0,10,0,0,0
"214","Слуга Народу","Юлія Гришина","Миколаївна","",191,98,14,29,50,0,0
"215","Слуга Народу","Тетяна Грищенко","Миколаївна","Житомирська область",19,3,8,8,0,0,0
"216","Слуга Народу","Роман Грищук","Павлович","м. Київ",228,123,24,28,53,0,0
"217","Слуга Народу","Максим Гузенко","Васильович","Сумська область",37,1,4,30,2,0,0
"218","Слуга Народу","Дмитро Гурін","Олександрович","м. Київ",188,115,40,27,6,0,0
"219","Слуга Народу","Олександр Дануца","Анатолійович","Кіровоградська область",95,93,0,2,0,0,0
"220","Слуга Народу","Сергій Демченко","Олексійович","Дніпропетровська область",221,102,25,84,10,0,0
"221","Слуга Народу","Максим Дирдін","Євгенович","Миколаївська область",166,41,21,97,7,0,0
"222","Слуга Народу","Юлія Діденко","Олександрівна","",435,195,28,206,2,0,4
"223","Слуга Народу","Оксана Дмитрієва","Олександрівна","",79,56,6,16,1,0,0
"224","Слуга Народу","Артем Дмитрук","Геннадійович","Одеська область",1,1,0,0,0,0,0
"225","Слуга Народу","Анатолій Драбовський","Григорович","Вінницька область",8,1,0,7,0,0,0
"226","Слуга Народу","Олександр Дубінський","Анатолійович","Київська область",171,59,13,93,6,0,0
"227","Слуга Народу","Артем Дубнов","Васильович","м. Київ",225,67,41,114,3,0,0
"228","Слуга Народу","Олег Дунда","Андрійович","Київська область",112,40,9,55,8,0,0
"229","Слуга Народу","Олексій Жмеренецький","Сергійович","Хмельницька область",44,19,6,15,4,0,0
"230","Слуга Народу","Андрій Жупанин","Вікторович","",119,55,21,40,3,0,0
"231","Слуга Народу","Мар'ян Заблоцький","Богданович","",1285,395,105,775,6,0,4
"232","Слуга Народу","Леся Забуранна","Валентинівна","м. Київ",82,59,9,14,0,0,0
"233","Слуга Народу","Олександр Завітневич","Михайлович","",602,557,18,16,11,0,0
"234","Слуга Народу","Аліна Загоруйко","Леонідівна","",53,10,9,32,2,0,0
"235","Слуга Народу","Микола Задорожній","Миколайович","Сумська область",43,39,0,4,0,0,0
"236","Слуга Народу","Максим Заремський","Валентинович","Чернівецька область",58,41,8,9,0,0,0
"237","Слуга Народу","Юрій Заславський","Іванович","",6,2,0,4,0,0,0
"238","Слуга Народу","Володимир Захарченко","Васильович","Дніпропетровська область",37,35,1,1,0,0,0
"239","Слуга Народу","Юрій Здебський","Вікторович","Харківська область",483,449,14,15,5,0,0
"240","Слуга Народу","Валерій Зуб","Олексійович","Чернігівська область",13,2,1,10,0,0,0
"241","Слуга Народу","Володимир Іванов","Ілліч","Херсонська область",1,1,0,0,0,0,0
"242","Слуга Народу","Сергій Іонушас","Костянтинович","",120,48,19,50,3,0,0
"243","Слуга Народу","Іван Калаур","Романович","",1,0,0,1,0,0,0
"244","Слуга Народу","Сергій Кальченко","Віталійович","",20,3,1,16,0,0,0
"245","Слуга Народу","Юрій Камельчук","Олександрович","Львівська область",16,2,8,6,0,0,0
"246","Слуга Народу","Роман Каптєлов","Володимирович","Дніпропетровська область",5,1,2,2,0,0,0
"247","Слуга Народу","Геннадій Касай","Олександрович","Запорізька область",25,6,1,16,2,0,0
"248","Слуга Народу","Олександр Качура","Анатолійович","",96,20,22,54,0,0,0
"249","Слуга Народу","Микола Кириченко","Олександрович","",54,4,9,40,1,0,0
"250","Слуга Народу","Дмитро Кисилевський","Давидович","Дніпропетровська область",114,58,14,39,3,0,0
"251","Слуга Народу","Богдан Кицак","Вікторович","Житомирська область",1,1,0,0,0,0,0
"252","Слуга Народу","Вікторія Кінзбурська","Олександрівна","Харківська область",101,27,10,64,0,0,0
"253","Слуга Народу","Андрій Клочко","Андрійович","",176,34,30,104,8,0,0
"254","Слуга Народу","Ольга Коваль","Володимирівна","",232,82,39,100,11,0,0
"255","Слуга Народу","Олексій Ковальов","Іванович","Херсонська область",83,14,11,57,1,0,0
"256","Слуга Народу","Олександр Ковальчук","Володимирович","Рівненська область",153,90,4,50,5,0,4
"257","Слуга Народу","Володимир Козак","Васильович","",2,0,0,2,0,0,0
"258","Слуга Народу","Сергій Колебошин","Валерійович","Одеська область",231,152,13,13,52,0,1
"259","Слуга Народу","Олег Колєв","Вікторович","Одеська область",1,1,0,0,0,0,0
"260","Слуга Народу","Анна Колісник","Сергіївна","",92,56,6,23,3,0,4
"261","Слуга Народу","Валерій Колюх","Вікторович","Київська область",173,36,25,110,2,0,0
"262","Слуга Народу","Олена Копанчук","Євгенівна","Хмельницька область",19,1,3,15,0,0,0
"263","Слуга Народу","Ігор Копитін","Володимирович","Миколаївська область",692,634,23,24,11,0,0
"264","Слуга Народу","Олександр Корнієнко","Сергійович","",239,168,17,16,38,0,0
"265","Слуга Народу","Юрій Корявченков","Валерійович","Дніпропетровська область",3,0,1,2,0,0,0
"266","Слуга Народу","Андрій Костін","Євгенович","",29,13,7,8,1,0,0
"267","Слуга Народу","Дмитро Костюк","Сергійович","Житомирська область",27,5,1,21,0,0,0
"268","Слуга Народу","Анатолій Костюх","Вячеславович","",23,23,0,0,0,0,0
"269","Слуга Народу","Євгенія Кравчук","Михайлівна","",27,12,9,6,0,0,0
"270","Слуга Народу","Олексій Красов","Ігорович","Харківська область",21,1,2,17,1,0,0
"271","Слуга Народу","Володимир Крейденко","Вікторович","",2,2,0,0,0,0,0
"272","Слуга Народу","Ігор Кривошеєв","Сергійович","",38,11,3,24,0,0,0
"273","Слуга Народу","Михайло Крячко","Валерійович","",107,95,1,5,6,0,0
"274","Слуга Народу","Юрій Кузбит","Михайлович","Кіровоградська область",46,41,1,4,0,0,0
"275","Слуга Народу","Олексій Кузнєцов","Олександрович","Луганська область",21,7,0,14,0,0,0
"276","Слуга Народу","Сергій Кузьміних","Володимирович","Житомирська область",111,32,3,73,3,0,0
"277","Слуга Народу","Артем Культенко","Валерійович","",4,4,0,0,0,0,0
"278","Слуга Народу","Артем Кунаєв","Юрійович","",51,7,8,34,2,0,0
"279","Слуга Народу","Олександр Куницький","Олегович","Харківська область",1,1,0,0,0,0,0
"280","Слуга Народу","Михайло Лаба","Михайлович","Закарпатська область",18,1,0,17,0,0,0
"281","Слуга Народу","Олексій Леонов","Олександрович","Одеська область",51,35,0,9,3,0,4
"282","Слуга Народу","Олена Лис","Георгіївна","Чернівецька область",97,64,9,17,6,0,1
"283","Слуга Народу","Сергій Литвиненко","Анатолійович","Рівненська область",128,5,9,111,3,0,0
"284","Слуга Народу","Олександр Літвінов","Миколайович","Харківська область",11,5,1,5,0,0,0
"285","Слуга Народу","Ганна Лічман","Василівна","Дніпропетровська область",13,2,5,6,0,0,0
"286","Слуга Народу","Дмитро Любота","Валерійович","Харківська область",25,6,2,17,0,0,0
"287","Слуга Народу","Анастасія Ляшенко","Олексіївна","Полтавська область",259,68,11,175,1,0,4
"288","Слуга Народу","Георгій Мазурашу","Георгійович","Чернівецька область",10,0,0,10,0,0,0
"289","Слуга Народу","Олександр Маріковський","Валерійович","",135,52,28,54,1,0,0
"290","Слуга Народу","Олег Марусяк","Романович","",1003,547,89,362,5,0,0
"291","Слуга Народу","Людмила Марченко","Іванівна","",16,1,1,14,0,0,0
"292","Слуга Народу","Ігор Марчук","Петрович","Хмельницька область",4,2,0,1,1,0,0
"293","Слуга Народу","Олександр Матусевич","Борисович","Івано-Франківська область",79,7,4,64,4,0,0
"294","Слуга Народу","В'ячеслав Медяник","Анатолійович","Дніпропетровська область",62,27,9,25,1,0,0
"295","Слуга Народу","Марія Мезенцева","Сергіївна","Харківська область",97,2,2,91,2,0,0
"296","Слуга Народу","Павло Мельник","Вікторович","Запорізька область",4,2,0,1,1,0,0
"297","Слуга Народу","Олександр Мережко","Олександрович","",1,1,0,0,0,0,0
"298","Слуга Народу","Дмитро Микиша","Сергійович","Харківська область",1,0,0,1,0,0,0
"299","Слуга Народу","Юрій Мисягін","Михайлович","Дніпропетровська область",30,27,1,1,1,0,0
"300","Слуга Народу","Галина Михайлюк","Олегівна","",133,100,3,28,2,0,0
"301","Слуга Народу","Олексій Мовчан","Васильович","Полтавська область",97,51,0,45,1,0,0
"302","Слуга Народу","Василь Мокан","Іванович","",23,23,0,0,0,0,0
"303","Слуга Народу","Денис Монастирський","Анатолійович","",270,201,21,29,19,0,0
"304","Слуга Народу","Андрій Мотовиловець","Вікторович","",6,3,0,1,2,0,0
"305","Слуга Народу","Олена Мошенець","Володимирівна","",92,29,12,46,5,0,0
"306","Слуга Народу","Роман Мулик","Миронович","",77,2,2,71,2,0,0
"307","Слуга Народу","Ігор Мурдій","Юрійович","Кіровоградська область",5,0,0,4,1,0,0
"308","Слуга Народу","Артем Нагаєвський","Сергійович","",214,71,11,124,8,0,0
"309","Слуга Народу","Сергій Нагорняк","Володимирович","Черкаська область",1,0,0,1,0,0,0
"310","Слуга Народу","Дмитро Наталуха","Андрійович","",308,178,25,95,10,0,0
"311","Слуга Народу","Ігор Негулевський","Петрович","Миколаївська область",79,2,2,73,2,0,0
"312","Слуга Народу","Владлен Неклюдов","Михайлович","",208,140,5,57,6,0,0
"313","Слуга Народу","Марина Нікітіна","Вікторівна","Запорізька область",55,16,5,33,1,0,0
